##Falco	1.2.4
>>Basic Statistics	pass
#Measure	Value
Filename	GSM461180_subsampled_reverse
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1226483
Sequences flagged as poor quality	0
Sequence length	37
%GC	56
>>END_MODULE
>>Per base sequence quality	warn
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
31	37	4.55353
32	1	1.25321
32	2	1.25279
32	3	1.77877
32	4	0.174438
32	5	-6.52486
32	6	-7.04184
32	7	-1.0779
32	8	0.779655
32	9	2.27952
32	10	1.07304
32	11	-5.94301
32	12	-6.80633
32	13	-0.479338
32	14	-3.87541
32	15	-5.25214
32	16	-2.29871
32	17	-4.10475
32	18	-5.26589
32	19	-7.18057
32	20	-4.90424
32	21	-2.48106
32	22	-2.11389
32	23	-4.48969
32	24	-0.676179
32	25	-6.95355
32	26	-2.73114
32	27	-5.11658
32	28	-6.59462
32	29	-3.60842
32	30	-3.73424
32	31	-0.349419
32	32	-3.80814
32	33	-5.81421
32	34	-4.13406
32	35	-2.56843
32	36	-3.35582
32	37	-5.67136
33	1	-7.83527
33	2	-3.20703
33	3	-2.41746
33	4	-10.2062
33	5	-7.80893
33	6	-9.34687
33	7	-9.27325
33	8	-8.28111
33	9	-4.82596
33	10	-3.07809
33	11	-2.55014
33	12	-0.195719
33	13	-2.07842
33	14	-2.42001
33	15	-7.25572
33	16	-3.97635
33	17	-4.45341
33	18	-3.71831
33	19	-2.7339
33	20	-4.21845
33	21	-3.72372
33	22	-0.0757502
33	23	-2.77383
33	24	-0.025789
33	25	0.521708
33	26	-1.34013
33	27	0.370355
33	28	-6.87698
33	29	-0.677825
33	30	-1.75432
33	31	1.02205
33	32	-4.37523
33	33	-2.11119
33	34	-0.19554
33	35	-1.24202
33	36	0.905644
33	37	-1.78456
34	1	1.30835
34	2	1.67121
34	3	1.66824
34	4	1.57163
34	5	2.21619
34	6	2.05694
34	7	1.58241
34	8	2.78543
34	9	3.01345
34	10	2.89928
34	11	2.96467
34	12	2.57484
34	13	2.46264
34	14	1.24019
34	15	-2.24229
34	16	-8.09903
34	17	-5.77318
34	18	-7.74345
34	19	-9.92478
34	20	-7.80028
34	21	-9.03818
34	22	-8.9104
34	23	-6.51341
34	24	-4.49197
34	25	-6.52174
34	26	-7.22926
34	27	-4.6479
34	28	-4.45877
34	29	-5.73634
34	30	-6.35994
34	31	-4.22595
34	32	-5.76859
34	33	-5.93852
34	34	-5.42414
34	35	-5.94501
34	36	-3.78194
34	37	-4.68791
35	1	-1.43181
35	2	-1.25685
35	3	-4.59585
35	4	1.25232
35	5	0.220914
35	6	0.703158
35	7	-2.13762
35	8	1.85921
35	9	2.95334
35	10	0.838069
35	11	2.91181
35	12	2.90106
35	13	3.56064
35	14	1.33189
35	15	1.98454
35	16	2.79799
35	17	2.91809
35	18	3.37171
35	19	-2.85923
35	20	2.79087
